Ticker,Date/Time,Open,High,Low,Close
NIFTYMIDCAP100,8/7/2017,18424.25,18602.35,18416.9,18570.45
NIFTYMIDCAP100,8/8/2017,18623,18638.3,18252.85,18345.7
NIFTYMIDCAP100,8/9/2017,18299.55,18304.05,17984.7,18040
NIFTYMIDCAP100,8/10/2017,17954.45,17969.65,17224.1,17462.85
NIFTYMIDCAP100,8/11/2017,17213.7,17537.65,17056.15,17360.75
NIFTYMIDCAP100,8/14/2017,17529.95,17872.15,17528.4,17853.65
NIFTYMIDCAP100,8/16/2017,17942.8,18104.55,17784.4,18088.7
NIFTYMIDCAP100,8/17/2017,18147.3,18265.45,18088.35,18125.8
NIFTYMIDCAP100,8/18/2017,18017.6,18076.5,17877.4,18044.5
NIFTYMIDCAP100,8/21/2017,18111.95,18167.25,17752.1,17781.55
NIFTYMIDCAP100,8/22/2017,17865.95,17929.05,17590.7,17646.45
NIFTYMIDCAP100,8/23/2017,17740.95,17873.45,17727.35,17856.65
NIFTYMIDCAP100,8/24/2017,17903.9,18000.1,17858.2,17963.95
NIFTYMIDCAP100,8/28/2017,18025.75,18188.9,18013,18159.65
NIFTYMIDCAP100,8/29/2017,18103.3,18158.7,17927.7,17956.3
NIFTYMIDCAP100,8/30/2017,18076.25,18239.3,18072.65,18211.4
NIFTYMIDCAP100,8/31/2017,18244.2,18291.85,18198.4,18277.45
